path,bytes,sha256
tables/Table_S01_cohort_index_landmark_definitions_v2.csv,2412,03b7b58c89f5c61c1682d75abff1b5b04cfd33c400c7344285a8ae6e5f42b009
tables/Table_S02_tuple_source_mapping_hierarchy_v2.csv,1551,62a29f1943d4ba9f8cad0fc67d7dca88d2dcddc721cd9aa912126c901ff028af
tables/Table_S03_derived_representations_identities_v2.csv,1374,72cd300f188b3e7b42948a400b9ab1749b0d7e862742219a1760a14cf8081389
tables/Table_S04_fixed_landmark_cohort_measurement_flow_v2.csv,319,3b9d661fa783685152b760554a0cc6e42503244844e491f7ab7b22c322cd8f50
tables/Table_S05_predictor_tuple_missingness_v2.csv,1618,7b7bfe8724edfc61a371c3004ead04f51b0c3d61909f3169bfe33da5f4f623ed
tables/Table_S06_development_derived_transformations_models_v2.csv,1127,041f66bb5bbb5425361a7f43010908e6903e543e243dc0277be5367d9b1749ce
tables/Table_S07_mimic_coefficients_constraint_tests_v2.csv,1391,30387b9439ebcadc3869b25b94488d74f8a996d694db67a5ba766f6fa56c8c3a
tables/Table_S08_mimic_internal_validation_v2.csv,658,709031789557696f245adddf858a9525ae49ba3a27ec5f76aad25813f0eb28b7
tables/Table_S09_eicu_unchanged_performance_calibration_v2.csv,864,7699549751fe991de3c477fa93502053cb6cd684d3e8379e067d030ed4124bfa
tables/Table_S10_paired_external_model_differences_v2.csv,819,10f2e2ae1fca7d17bd5ca16cc0431a1315f1e0868b93ebd4a0c9451732c6e107
tables/Table_S11_external_prediction_support_updating_v2.csv,522,68191308d45fa4d173fda42e02bffda903111af4496eff8525a1050fe7d07421
tables/Table_S12_hospital_support_influence_v2.csv,1337,c8c23b63f0408cb730df9400aa1ad8572472c16d6cf391483239eb1600abb1b0
tables/Table_S13_selection_ipw_diagnostics_v2.csv,1377,9346684b7381ead0cfc92c5291c92002d7609e903b5db7228b603f0b699e1c3e
tables/Table_S14_tuple_quality_mode_compatibility_v2.csv,1006,d7e1b88b124d864c9862d59dac89292050bb7ce741ea8280a86cf11455f5c1b6
tables/Table_S15_functional_form_normalization_sensitivities_v2.csv,1083,43b0dfafb501570f2e4ce403a9b14b94e15b430354c25544f481ac69e35051fa
tables/Table_S16_development_derived_median_indicator_v2.csv,1727,49bd92adb518375394c84810f999cdab15e28c0f5a8d438b56644c506cbab2d2
tables/Table_S17_complete_gcs_sensitivity_v2.csv,2229,976d623a91fc80ad2132a0b11ce5efe6483ed22615c6d735faeaf598b20e0819
tables/Table_S18_persistent_ahrf_72h_stop_v2.csv,243,c177e5d9a26b31e4423da407fb8259b2a1b4e6c1bd203213bd39276198c51cc8
tables/Table_S19_reproducibility_information_v2.csv,1016,0c810c42dbfe84b0fec5980ecb26d5db7b52793bc9d6964124a0f7398971255a
full_precision/development_derived_transform_parameters.csv,1884,59012e8d382a66438c976d1f097ff5e077fed8c628a022f5471bee2053a29458
full_precision/predefined_model_specification.csv,391,d75763a9ce281adeb0af40742eaaf962d479581841f205c3fc1735f442a62fe4
full_precision/primary_model_coefficients.csv,10112,d3e7c1cddcab4a51804762ebf84820f6c91043a83e850135e9a621bb496a3080
full_precision/primary_constraint_tests.csv,266,92162b499da8342da58e63a80d48fd3cd182d9773202e320da503d61e988f41a
full_precision/eicu_external_hospital_cluster_bootstrap_summary.csv,6382,ab5197cee2fb5ea5a40f946a82b94527f146411040953bfef2bb190dff48382e
full_precision/eicu_hospital_support_summary.csv,311,8e16ebcd941d551a37039ef69bd13d11b4e6970106960c080379c0f51f6e5000
full_precision/eicu_largest_hospital_exclusion_summary.csv,142,128d867ffc00371d1d2a3abab24ce6229748ef48716d68e3bc90c82f4372134b
full_precision/eicu_largest_hospital_exclusion_performance.csv,1137,1f5670e6a804fbddf95b69ccea1ddadd7c57b0ebfb297f6be034c02f56723fb4
full_precision/eicu_largest_hospital_exclusion_paired_differences.csv,838,50ab3f149cf0d002e86074988a96e78c3d3418d6698d2f4f6c136e89881f7390
full_precision/eicu_equal_hospital_performance.csv,1281,7651696dee5cf0eede656ce0edbc62998e6c48c1b6e7894707f8297e49178594
full_precision/eicu_equal_hospital_paired_differences.csv,1000,388c9bb36ef0be0a5320b3793dbcee86f7a3bd39f2422cd9242e588d53bdfffc
full_precision/eicu_leave_one_hospital_out_model_summary.csv,3073,adc3c813ea9a995032ae55d7e228cd338c32a9e042a67f40a28cdd47cd3a3a90
full_precision/eicu_leave_one_hospital_out_paired_summary.csv,2152,3f012fa75cedf9c9222a8f55f058bb0f8ddb3a8ca3369f3d9eeccb65c4737828
full_precision/primary_collinearity_summary.csv,323,1ddf614b1c39db7041b3f23e5469c1e2d0503516b6fde49690ef5e1041056fee
full_precision/pressure_rate_variance_inflation_factors.csv,70,e1467024b6b65e0cbefaee70778092e235d1c834203356271277fc8884694925
full_precision/algebraic_term_variance_inflation_factors.csv,113,5a39c653dc3d81952710d3fa0873d99275e28003a51a04eacbd5c65066f89f5e
full_precision/selection_weight_distributions.csv,3607,e9e9f4f432b522675a50c6b2ce088ba7b90382d872ca22a0e5acf785cec67d71
full_precision/selection_weighted_model_performance.csv,16778,ee00e74b9e8dce991fd0d250c2372f7e9d6339cedd9d140761da45f886901121
full_precision/selection_weighted_paired_differences.csv,7030,a27453ebe78eb370041f6ce2b48e7580fed978dd7779fffba14aee70f0590caf
full_precision/source_specific_infection_coverage.csv,505,c63ee5670a1e7da752b04600a3355ce76675ff1006568dc33940060f19f8e8b9
