database,selection_target,model_role,covariate_specification,endpoint_weight_eligible,group,n,minimum,q01,q05,q25,median,q75,q95,q99,maximum
MIMIC-IV,valid_tuple_by_6h_landmark,tuple_measured_selection_ipw,full_core_median_indicator,TRUE,stabilized_weight_raw,10468,0.526486271918277,0.577632028650872,0.637741336301238,0.795473017642344,0.96067033516544,1.15752888594036,1.47817743246615,1.73415064176158,2.25018885853132
MIMIC-IV,valid_tuple_by_6h_landmark,tuple_measured_selection_ipw,full_core_median_indicator,TRUE,stabilized_weight_truncated,10468,0.577632028650872,0.577632028650872,0.637741336301238,0.795473017642344,0.96067033516544,1.15752888594036,1.47817743246615,1.73415064176158,1.73415064176158
MIMIC-IV,valid_tuple_and_complete_no_gcs_core,joint_full_selection_diagnostic,full_core_median_indicator,FALSE,stabilized_weight_raw,9861,0.49622287662975,0.545800034997832,0.603781510947768,0.754058249081488,0.907938497156072,1.0969352089458,1.40191803413725,1.64378572838614,2.12412938109775
MIMIC-IV,valid_tuple_and_complete_no_gcs_core,joint_full_selection_diagnostic,full_core_median_indicator,FALSE,stabilized_weight_truncated,9861,0.545800034997832,0.545800034997832,0.603781510947768,0.754058249081488,0.907938497156072,1.0969352089458,1.40191803413725,1.64378572838614,1.64378572838614
MIMIC-IV,valid_tuple_and_complete_no_gcs_core,joint_always_observed_ipw,always_observed_only,TRUE,stabilized_weight_raw,9861,0.511936542649298,0.599747447760322,0.677525568005316,0.845958822592832,1.0171396278448,1.15199948159582,1.277711628472,1.33164151839758,1.88961644495407
MIMIC-IV,valid_tuple_and_complete_no_gcs_core,joint_always_observed_ipw,always_observed_only,TRUE,stabilized_weight_truncated,9861,0.599747447760322,0.599747447760322,0.677525568005316,0.845958822592832,1.0171396278448,1.15199948159582,1.277711628472,1.33164151839758,1.33164151839758
eICU-CRD,valid_tuple_by_6h_landmark,tuple_measured_selection_ipw,full_core_median_indicator,TRUE,stabilized_weight_raw,1459,0.573833045227853,0.647960471442589,0.718168510225125,0.820916899388477,0.935504687486213,1.09074546900773,1.56353627344536,2.02005455519968,2.3829767543953
eICU-CRD,valid_tuple_by_6h_landmark,tuple_measured_selection_ipw,full_core_median_indicator,TRUE,stabilized_weight_truncated,1459,0.647960471442589,0.647960471442589,0.718168510225125,0.820916899388477,0.935504687486213,1.09074546900773,1.56353627344536,2.02005455519968,2.02005455519968
eICU-CRD,valid_tuple_and_complete_no_gcs_core,joint_full_selection_diagnostic,full_core_median_indicator,FALSE,stabilized_weight_raw,1211,0.491483799497073,0.542000930707252,0.591032807004001,0.668046442913321,0.747975678189531,0.848080350126686,1.02901069443439,1.15244127231702,1.40025753067809
eICU-CRD,valid_tuple_and_complete_no_gcs_core,joint_full_selection_diagnostic,full_core_median_indicator,FALSE,stabilized_weight_truncated,1211,0.542000930707252,0.542000930707252,0.591032807004001,0.668046442913321,0.747975678189531,0.848080350126686,1.02901069443439,1.15244127231702,1.15244127231702
eICU-CRD,valid_tuple_and_complete_no_gcs_core,joint_always_observed_ipw,always_observed_only,TRUE,stabilized_weight_raw,1211,0.50406379674608,0.579428821733562,0.649356657763257,0.78482127926448,0.989726673418821,1.18130689953904,1.43120887100477,1.55565696612049,1.6097930633838
eICU-CRD,valid_tuple_and_complete_no_gcs_core,joint_always_observed_ipw,always_observed_only,TRUE,stabilized_weight_truncated,1211,0.579428821733562,0.579428821733562,0.649356657763257,0.78482127926448,0.989726673418821,1.18130689953904,1.43120887100477,1.55565696612049,1.55565696612049
