threshold,MIMIC_base,MIMIC_MP,MIMIC_all,eICU_base,eICU_MP,eICU_all
0.05,0.16409,0.16457,0.16621,0.29731,0.29742,0.29691
0.06,0.15496,0.15539,0.15734,0.28989,0.29047,0.28943
0.07,0.14568,0.14641,0.14828,0.28292,0.28267,0.28179
0.08,0.13647,0.13747,0.13902,0.27464,0.27547,0.27398
0.09,0.12744,0.13019,0.12956,0.26596,0.26633,0.266
0.1,0.11949,0.12225,0.11989,0.25821,0.25773,0.25785
0.11,0.11133,0.11422,0.11,0.25043,0.25016,0.24951
0.12,0.10454,0.10765,0.09989,0.24279,0.24415,0.24098
0.13,0.0979,0.10131,0.08954,0.23508,0.23511,0.23226
0.14,0.09211,0.0953,0.07895,0.22605,0.22576,0.22333
0.15,0.08743,0.09117,0.06812,0.21759,0.21711,0.21419
0.16,0.08207,0.08676,0.05702,0.2093,0.20826,0.20484
0.17,0.07823,0.08238,0.04566,0.20218,0.20361,0.19526
0.18,0.07513,0.07784,0.03402,0.19394,0.19616,0.18544
0.19,0.07173,0.07424,0.0221,0.18606,0.18609,0.17539
0.2,0.06996,0.07113,0.00987,0.17814,0.17597,0.16508
0.21,0.0656,0.06842,-0.00266,0.17057,0.17023,0.15451
0.22,0.06374,0.06571,-0.01551,0.16293,0.1661,0.14367
0.23,0.06062,0.06295,-0.0287,0.15951,0.15782,0.13255
0.24,0.05787,0.06109,-0.04224,0.15371,0.15196,0.12114
0.25,0.05493,0.05864,-0.05613,0.14916,0.14625,0.10942
0.26,0.05281,0.05475,-0.07041,0.14236,0.14217,0.09738
0.27,0.05112,0.05245,-0.08507,0.13807,0.13626,0.08502
0.28,0.0488,0.05145,-0.10014,0.13434,0.13249,0.07231
0.29,0.04715,0.04948,-0.11563,0.12801,0.12754,0.05924
0.3,0.04555,0.04729,-0.13157,0.12264,0.12505,0.0458
0.31,0.04347,0.04564,-0.14797,0.11864,0.11372,0.03198
0.32,0.04168,0.04399,-0.16485,0.11038,0.10897,0.01774
0.33,0.04034,0.04179,-0.18224,0.10651,0.10676,0.00308
0.34,0.03898,0.03914,-0.20015,0.10122,0.10482,-0.01203
0.35,0.03762,0.03784,-0.21862,0.09941,0.10251,-0.0276
0.36,0.03574,0.03534,-0.23766,0.09411,0.1005,-0.04365
0.37,0.03362,0.03394,-0.2573,0.08896,0.09581,-0.06022
0.38,0.03285,0.0324,-0.27758,0.08885,0.08847,-0.07732
0.39,0.03123,0.03016,-0.29853,0.08872,0.086,-0.09498
0.4,0.02989,0.02831,-0.32017,0.08692,0.08129,-0.11323
0.41,0.02833,0.02713,-0.34254,0.08516,0.0769,-0.1321
0.42,0.02691,0.02574,-0.36569,0.07878,0.07013,-0.15162
0.43,0.02521,0.02452,-0.38965,0.07038,0.06929,-0.17182
0.44,0.02374,0.02307,-0.41447,0.0626,0.06777,-0.19274
0.45,0.02152,0.02196,-0.44018,0.06399,0.06433,-0.21443
0.46,0.01961,0.02032,-0.46685,0.06008,0.06123,-0.23692
0.47,0.01877,0.01917,-0.49453,0.05958,0.06175,-0.26026
0.48,0.01751,0.01761,-0.52327,0.05536,0.06147,-0.28449
0.49,0.01699,0.01594,-0.55314,0.05033,0.05784,-0.30968
0.5,0.01578,0.0148,-0.5842,0.04464,0.05389,-0.33587
0.51,0.01479,0.01412,-0.61653,0.04419,0.04925,-0.36314
0.52,0.01392,0.01328,-0.65021,0.03987,0.047,-0.39154
0.53,0.01314,0.01286,-0.68532,0.03981,0.04348,-0.42114
0.54,0.01227,0.0125,-0.72196,0.03586,0.0444,-0.45204
0.55,0.01173,0.01302,-0.76022,0.02927,0.04077,-0.4843
0.56,0.01053,0.01267,-0.80023,0.03182,0.03791,-0.51804
0.57,0.00931,0.01188,-0.84209,0.02966,0.03512,-0.55334
0.58,0.00905,0.01066,-0.88595,0.02629,0.03315,-0.59033
0.59,0.00796,0.0099,-0.93195,0.02446,0.03088,-0.62911
0.6,0.00737,0.00905,-0.98025,0.02559,0.0294,-0.66984
