Section,Item,Value,Detail
Nested discrimination,M0: age + sex + P/F (base),0.639,ΔC —
Nested discrimination,M1: + non-respiratory SOFA,0.707,ΔC +0.068
Nested discrimination,M2: + driving pressure,0.711,ΔC +0.003
Nested discrimination,M3: + mechanical power,0.721,ΔC +0.010
MP increment over base+SOFA+ΔP,ΔC-statistic (DeLong),+0.0098,p=6.5e-12
MP increment over base+SOFA+ΔP,IDI,0.0100,95% CI 0.0080–0.0119
MP increment over base+SOFA+ΔP,Continuous NRI,0.218,95% CI 0.182–0.254
MP increment over base+SOFA+ΔP,Likelihood-ratio χ² (df=1),193.0,p=7e-44
Severity adjustment effect on OR,Mechanical power (per SD),before: 1.419 (1.368–1.472),after SOFA: 1.313 (1.263–1.364)
Severity adjustment effect on OR,Driving pressure (per SD),before: 1.130 (1.090–1.172),after SOFA: 1.112 (1.070–1.155)
